timestamp,cpu_percent,memory_usage_mb,memory_percent,net_io,block_io
1753862729,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862732,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862735,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862738,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862741,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862744,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862746,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862749,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862752,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862755,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862758,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862761,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862764,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862766,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862769,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862772,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862775,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862778,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862781,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862784,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862786,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862789,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862792,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862795,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862798,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862801,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862804,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862806,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862809,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862812,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862815,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862818,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862821,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862824,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862826,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862829,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862832,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862835,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862838,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862841,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862844,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862846,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862849,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862852,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862855,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862858,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862861,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862864,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862866,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862869,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862872,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862875,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862878,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862881,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862884,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862886,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862889,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862892,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862895,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862898,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862901,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862904,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862906,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862909,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862912,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862915,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862918,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862921,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862924,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862926,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862929,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862932,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862935,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862938,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862941,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862944,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862946,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862949,0,61.02,0.39,363MB / 7.65MB,0B / 0B
